도로명주소,업태구분명,lat,lng,구
서울특별시 중구 청파로 426 ,대형마트,37.5575041,126.9690867,중구
서울특별시 중구 청계천로 400-0 ,대형마트,37.571443023556924,127.02281970653128,중구
서울특별시 용산구 청파로 122 ,대형마트,37.5363582,126.970567,용산구
서울특별시 성동구 왕십리광장로 17 ,대형마트,37.561196,127.0371344,성동구
서울특별시 광진구 광나루로56길 85 ,대형마트,37.5349372,127.0957088,광진구
서울특별시 광진구 아차산로 272 ,대형마트,37.538418,127.07323878135787,광진구
서울특별시 동대문구 왕산로 214 ,대형마트,37.5805961,127.0482573,동대문구
서울특별시 마포구 양화로 45 ,대형마트,37.5502395,126.9139625,마포구
서울특별시 동대문구 한천로 42 ,대형마트,37.5953861,127.0681531,동대문구
서울특별시 중랑구 상봉로 118 ,대형마트,37.598183,127.0926904,중랑구
서울특별시 중랑구 동일로 932 ,대형마트,37.592654,127.0801782,중랑구
서울특별시 중랑구 망우로 336 ,대형마트,37.5960765,127.0885104,중랑구
서울특별시 성북구 도봉로 17 ,대형마트,37.6107692,127.030287,성북구
서울특별시 망우로 353-0 ,대형마트,37.59789772244962,127.09031672823187,망우로
서울특별시 성북구 종암로 167 ,대형마트,37.6050584,127.0309893,성북구
서울특별시 성북구  도봉로  17 ,대형마트,37.6107692,127.030287,성북구
서울특별시 성북구 도봉로 17 신세계 이마트 미아점 ,대형마트,37.61098966019643,127.02984065540359,성북구
서울특별시 성북구 종암로 167  동 ,대형마트,37.6050584,127.0309893,성북구
서울특별시 강북구 도봉로33길 18 ,대형마트,37.6213967,127.0266691,강북구
서울특별시 강북구 삼양로27길 35-21 ,대형마트,37.61800815,127.019013326551,강북구
서울특별시 강북구 삼양로 247 ,대형마트,37.624876,127.0184306,강북구
서울특별시 강북구 도봉로67길 18 ,대형마트,37.6300194,127.02175,강북구
서울특별시 강북구 도봉로 157 112호 ,대형마트,37.621746678421225,127.02686956574006,강북구
서울특별시 도봉구 노해로65길 4 ,대형마트,37.652,127.0463641,도봉구
서울특별시 도봉구 도봉로 678 ,대형마트,37.6806358,127.045434,도봉구
서울특별시 노원구 노원로 330 ,대형마트,37.6215438,127.0872984,노원구
서울특별시 서초구 잠원로 69 ,대형마트,37.5165359,127.0098568,서초구
서울특별시 은평구 수색로 217 ,대형마트,37.5824719,126.8949347,은평구
서울특별시 은평구 은평로 111 ,대형마트,37.6003292,126.92022829345238,은평구
서울특별시 마포구  백범로  212 ,대형마트,37.55217,126.93738,마포구
서울특별시 마포구 백범로 212 ,대형마트,37.55217,126.93738,마포구
서울특별시 양천구 오목로 299 ,대형마트,37.5245674,126.8750454,양천구
서울특별시 양천로 559 ,대형마트,37.5733451,126.8166853,양천로
서울특별시 구로구 새말로 97 ,대형마트,37.5016103,126.8817646,구로구
서울특별시 구로구 디지털로32길 43 ,대형마트,37.4844191,126.89791567238379,구로구
서울특별시 금천구 두산로 71 ,대형마트,37.4705891,126.8955948731973,금천구
서울특별시 금천구 시흥대로 391 ,대형마트,37.4687147,126.89688133411582,금천구
서울특별시 금천구 시흥대로 391 ,대형마트,37.4687147,126.89688133411582,금천구
서울특별시 영등포구 선유로 156 ,대형마트,37.527715099999995,126.89226519571568,영등포구
서울특별시 영등포구 선유로 138 ,대형마트,37.5367367,126.8984024,영등포구
서울특별시 성북구 화랑로 76 ,대형마트,37.6018264,127.0404642,성북구
서울특별시 영등포구 영중로 125 ,대형마트,37.5167442,126.9065388,영등포구
서울특별시 영등포구 여의동로3길 10 ,대형마트,37.5184109,126.9249488,영등포구
서울특별시 영등포구 여의동로3길 10 ,대형마트,37.5184109,126.9249488,영등포구
서울특별시 강서구 양천로 431 ,대형마트,37.5733451,126.8166853,강서구
서울특별시 강서구  화곡로  398 ,대형마트,37.5619588,126.8557941,강서구
서울특별시 구로구 경인로 661 신도림1차푸르지오 ,대형마트,37.50964480641816,126.88757096642676,구로구
서울특별시 방배로33길 29,대형마트,37.4918948,126.990054,방배로33길
서울특별시 서초구 양재대로 159 ,대형마트,37.4705648,127.0496991,서초구
서울특별시 서초구 매헌로 16 ,대형마트,37.46243255,127.03692620551209,서초구
서울특별시 서초구 방배로37길 11 1층 ,대형마트,37.493603187322535,126.989198055538,서초구
서울특별시 강남구 역삼로 310 ,대형마트,37.5029327,127.0581438,강남구
서울특별시 송파구 올림픽로 240 ,대형마트,37.51110405,127.09823334105309,송파구
서울특별시 송파구 중대로 80 ,대형마트,37.4917455,127.1177801,송파구
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 ,대형마트,37.512750534379386,127.10161566944585,송파구
서울특별시 강동구 천호대로 1017 ,대형마트,37.5382925,127.1248448,강동구
서울특별시 강동구 고덕로 276 ,대형마트,37.5555804,127.1577313,강동구
서울특별시 동대문구 천호대로 133 ,대형마트,37.574131,127.0373459,동대문구
서울특별시 금천구 시흥대로 201 ,대형마트,37.4519664,126.90074192738612,금천구
서울특별시 금천구 시흥대로 391 ,대형마트,37.4687147,126.89688133411582,금천구
서울특별시 강동구 양재대로 1571 ,대형마트,37.5458605,127.142537,강동구
서울특별시  새문안로 91 1층 ,대형마트,37.570549479860425,126.97479217804687,
서울특별시 강북구 도봉로 172 ,대형마트,37.638794,127.0265071,강북구
서울특별시 관악구 과천대로 909 ,대형마트,37.4763265,126.9815299,관악구
서울특별시 영등포구  당산로  42 ,대형마트,37.5160417,126.8943428,영등포구
서울특별시 관악구 은천로 51 ,대형마트,37.4858148,126.9426838,관악구
서울특별시 마포구 월드컵로 240 ,대형마트,37.5663972,126.8965001,마포구
서울특별시 강동구 고덕로24길 50 ,대형마트,37.5534081,127.1355607,강동구
서울특별시 송파구 올림픽로35가길 16 ,대형마트,37.5167037,127.1032995,송파구
서울특별시 노원구 동일로204가길 12 ,대형마트,37.6398415,127.06860161998614,노원구
서울특별시 중랑구 신내로 201 ,대형마트,37.61598855,127.09360049706524,중랑구
