역명,역주소,구,위도,경도
서울역,서울특별시 중구 세종대로 지하 2 ,중구,37.5641186,126.9768084
시청역,서울특별시 중구 세종대로 지하 101 ,중구,37.5657037,126.9768616
종각역,서울특별시 종로구 종로 지하 55 ,종로구,37.570169,126.983099
종로3가역,서울특별시 종로구 종로 지하 129 ,종로구,37.570436,126.992148
종로5가역,서울특별시 종로구 종로 지하 216  ,종로구,37.57259,126.9999117
동대문역,서울특별시 종로구 종로 지하 302 ,종로구,37.5670855,126.9917907
신설동역,서울특별시 동대문구 왕산로 지하 1 ,동대문구,37.5797775,127.0460124
제기동역,서울특별시 동대문구 왕산로 지하 93 ,동대문구,37.5781178,127.0349086
청량리역,서울특별시 동대문구 왕산로 지하 205,동대문구,37.5792928,127.0479007
동묘앞역,서울특별시 종로구 종로 359 ,종로구,37.5732808,127.0166486
까치산역,서울특별시 강서구 강서로 지하54 ,강서구,37.53247,126.84637
을지로입구역,서울특별시 중구 을지로 지하 42 ,중구,37.5665899,126.9982939
을지로3가역,서울특별시 중구 을지로 지하 106 ,중구,37.5652675,127.0084173
을지로4가역,서울특별시 중구 을지로 지하 178 ,중구,37.566621,126.997733
동대문역사문화공원역,서울특별시 중구 을지로 지하 279 ,중구,37.5665899,126.9982939
신당역,서울특별시 중구 퇴계로 지하 431-1 ,중구,37.56143,126.99554
상왕십리역,서울특별시 성동구 왕십리로 지하 374 ,성동구,37.5555334,127.0106514
왕십리역,서울특별시 성동구 왕십리로 지하300 ,성동구,37.5611822,127.0363048
한양대역,서울특별시 성동구 왕십리로 206 ,성동구,37.5552593,127.0436579
뚝섬역,서울특별시 성동구 아차산로 18 ,성동구,37.5471773,127.0473802
성수역,서울특별시 성동구 아차산로 100 ,성동구,37.5446009,127.0568847
건대입구역,서울특별시 광진구 아차산로 243 ,광진구,37.5407487,127.0690014
구의역,서울특별시 광진구 아차산로 384-1 ,광진구,37.5382826,127.0907553
강변역,서울특별시 광진구 강변역로 53 ,광진구,37.5354211,127.094533
잠실나루역,서울특별시 송파구 오금로 20 ,송파구,37.5091141,127.1129447
잠실역,서울특별시 송파구 올림픽로 지하 265 ,송파구,37.5130478,127.0994508
잠실새내역,서울특별시 송파구 올림픽로 지하 140 ,송파구,37.5098111,127.0895602
종합운동장역,서울특별시 송파구 올림픽로 지하 23 ,송파구,37.5134325,127.1083194
삼성역,서울특별시 강남구 테헤란로 지하 538 ,강남구,37.5104569,127.0655388
선릉역,서울특별시 강남구 테헤란로 지하 340 ,강남구,37.5045054,127.0490037
역삼역,서울특별시 강남구 테헤란로 지하 156 ,강남구,37.5056037,127.0542018
강남역,서울특별시 강남구 강남대로 지하 396 ,강남구,37.4977857,127.027777
교대역,서울특별시 서초구 서초대로 지하 294 ,서초구,37.5060582,127.0033885
서초역,서울특별시 서초구 서초대로 지하 233 ,서초구,37.5541037,127.0816175
방배역,서울특별시 서초구 방배로 지하 80 ,서초구,37.477966,127.0391569
사당역,서울특별시 동작구 남부순환로 지하 2089 ,동작구,37.4795497,126.9433403
낙성대역,서울특별시 관악구 남부순환로 지하 1928 ,관악구,37.4795497,126.9433403
서울대입구역,서울특별시 관악구 남부순환로 지하 1822 ,관악구,37.4795497,126.9433403
봉천역,서울특별시 관악구 남부순환로 지하 1721 ,관악구,37.4795497,126.9433403
신림역,서울특별시 관악구 남부순환로 지하 1614 ,관악구,37.4842107,126.9296988
신대방역,서울특별시 동작구 대림로 2 ,동작구,37.4875104,126.9129914
구로디지털단지역,서울특별시 구로구 도림천로 477 ,구로구,37.4851265,126.9015288
신도림역,서울특별시 구로구 새말로 지하 117-21 ,구로구,37.5088093,126.8910103
문래역,서울특별시 영등포구 당산로 지하 28 ,영등포구,37.5222919,126.8939204
영등포구청역,서울특별시 영등포구 당산로 지하 121 ,영등포구,37.5301272,126.9070794
당산역,서울특별시 영등포구 당산로 229 ,영등포구,37.5349309,126.9027301
합정역,서울특별시 마포구 양화로 지하 55 ,마포구,37.5513114,126.9109027
홍대입구역,서울특별시 마포구 양화로 지하160 ,마포구,37.5567292,126.9236419
신촌역,서울특별시 마포구 신촌로 지하 90 ,마포구,37.559771,126.942367
이대역,서울특별시 마포구 신촌로 지하 180 ,마포구,37.5551342,126.9356458
아현역,서울특별시 마포구 신촌로 지하 270 ,마포구,37.5581082,126.9259574
충정로역,서울특별시 서대문구 서소문로 지하 17 ,서대문구,37.55839479999999,126.9364465
용답역,서울특별시 성동구 용답길 86 ,성동구,37.5586888,127.0531724
신답역,서울특별시 성동구 천호대로 232 ,성동구,37.569744,127.0469446
도림천역,서울특별시 구로구 경인로 67길 160 ,구로구,37.5144011,126.8826846
양천구청역,서울특별시 양천구 목동로3길 지하 33,양천구,37.51263,126.8659
신정네거리역,서울특별시 양천구 중앙로 지하 261 ,양천구,37.5055803,126.9083512
용두역,서울특별시 동대문구 천호대로 지하 129,동대문구,37.5818187,127.0525297
구파발역,서울특별시 은평구 진관2로 지하 15-25 ,은평구,37.6354486,126.9231387
연신내역,서울특별시 은평구 통일로 지하 849 ,은평구,37.6193714,126.9205558
불광역,서울특별시 은평구 통일로 지하 723-1 ,은평구,37.6204627,126.9240524
녹번역,서울특별시 은평구 통일로 지하 602-1 ,은평구,37.6123992,126.9292744
홍제역,서울특별시 서대문구 통일로 지하 440-1 ,서대문구,37.58880200000001,126.944112
무악재역,서울특별시 서대문구 통일로 지하 361 ,서대문구,37.5793585,126.9199752
독립문역,서울특별시 서대문구 통일로 지하 247 ,서대문구,37.5740613,126.9563603
경복궁역,서울특별시 종로구 사직로 지하 130 ,종로구,37.5753274,126.973307
안국역,서울특별시 종로구 율곡로 지하 62 ,종로구,37.5765727,126.9856224
충무로역,서울특별시 중구 퇴계로 지하 199 ,중구,37.5612644,126.9943108
동대입구역,서울특별시 중구 동호로 지하 256 ,중구,37.5487875,127.0063284
약수역,서울특별시 중구 다산로 지하 122 ,중구,37.5543795,127.0110164
금호역,서울특별시 성동구 동호로 지하 104 ,성동구,37.5476635,127.0590212
옥수역,서울특별시 성동구 동호로 21  옥수역,성동구,37.5398948,127.0172208
압구정역,서울특별시 강남구 압구정로 지하 172 ,강남구,37.5271859,127.0377181
신사역,서울특별시 강남구 도산대로 지하 102 ,강남구,37.5240462,127.0515876
잠원역,서울특별시 서초구 잠원로 4길 지하 46 ,서초구,37.5120143,127.0104124
고속터미널역,서울특별시 서초구 신반포로 지하 188 ,서초구,37.5060582,127.0033885
남부터미널역,서울특별시 서초구 서초중앙로 지하 31 ,서초구,37.5000254,127.0112881
양재역,서울특별시 서초구 남부순환로 지하 2585 ,서초구,37.4847534,127.0333652
매봉역,서울특별시 강남구 남부순환로 지하 2744 ,강남구,37.5423735,127.0647027
도곡역,서울특별시 강남구 남부순환로 지하 2814 ,강남구,37.490713,127.0586709
대치역,서울특별시 강남구 남부순환로 지하 2952 ,강남구,37.490713,127.0586709
학여울역,서울특별시 강남구 남부순환로 지하 3104 ,강남구,37.4957118,127.0717957
대청역,서울특별시 강남구 일원로 지하 2 ,강남구,37.4895177,127.0861511
일원역,서울특별시 강남구 일원로 지하 121 ,강남구,37.4842574,127.0840871
수서역,서울특별시 강남구 광평로 지하 270 ,강남구,37.4873027,127.1018755
가락시장역,서울특별시 송파구 송파대로 지하 257 ,송파구,37.5300151,127.1140507
경찰병원역,서울특별시 송파구 중대로 지하 149 ,송파구,37.495701,127.124206
오금역,서울특별시 송파구 오금로 지하 321 ,송파구,37.4914697,127.0299611
당고개역,서울특별시 노원구 상계로 305 ,노원구,37.6705563,127.0793058
상계역,서울특별시 노원구 상계로 182 ,노원구,37.6610953,127.0735256
노원역,서울특별시 노원구 상계로 69-1 ,노원구,37.6558674,127.0619911
창동역,서울특별시 도봉구 마들로 11길 77 ,도봉구,37.6531856,127.0481139
쌍문역,서울특별시 도봉구 도봉로 지하 486-1 ,도봉구,37.6687738,127.0470706
수유역,서울특별시 강북구 도봉로 지하 50 ,강북구,37.613259,127.030102
미아역,서울특별시 강북구 도봉로 지하 198 ,강북구,37.6360775,127.0241549
미아사거리역,서울특별시 강북구 도봉로 지하 50 ,강북구,37.613259,127.030102
길음역,서울특별시 성북구 동소문로 지하 248 ,성북구,37.602671,127.0236243
성신여대입구역,서울특별시 성북구 동소문로 지하 102 ,성북구,37.5927217,127.0164854
한성대입구역,서울특별시 성북구 삼선교로 지하1 ,성북구,37.58817,127.00581
혜화역,서울특별시 종로구 대학로 지하 120 ,종로구,37.58217,127.001893
명동역,서울특별시 중구 퇴계로 지하 126 ,중구,37.56074,126.98545
회현역,서울특별시 중구 퇴계로 지하 54 ,중구,37.5609724,126.9945971
숙대입구역,서울특별시 용산구 한강대로 지하 306,용산구,37.5516714,126.972922
삼각지역,서울특별시 용산구 한강대로 지하 180 ,용산구,37.5516714,126.972922
신용산역,서울특별시 용산구 한강대로 지하 112 ,용산구,37.5351381,126.9950508
이촌역,서울특별시 용산구 용산동5가 17,용산구,37.5228712,126.9757424
동작역,서울특별시 동작구 현충로 257 ,동작구,37.50346469999999,126.9799265
총신대입구역,서울특별시 동작구 동작대로 지하 117 ,동작구,37.4768251,126.9815833
남태령역,서울특별시 서초구 과천대로 지하 816 ,서초구,37.4643638,126.9892695
방화역,서울특별시 강서구 금낭화로 지하132 ,강서구,37.5209287,126.9240344
개화산역,서울특별시 강서구 양천로 22,강서구,37.5726765,126.8144782
김포공항역,서울특별시 강서구 하늘길 지하77 ,강서구,37.56032,126.7982336
송정역,서울특별시 강서구 공항대로 지하33 ,강서구,37.5619185,126.826919
마곡역,서울특별시 강서구 공항대로 지하163 ,강서구,37.56025,126.824664
발산역,서울특별시 강서구 공항대로 지하267 ,강서구,37.5589471,126.8372198
우장산역,서울특별시 강서구 강서로 지하262 ,강서구,37.5491827,126.8364006
화곡역,서울특별시 강서구 화곡로 지하168 ,강서구,37.5102225,126.8676831
신정역,서울특별시 양천구 오목로 지하179 ,양천구,37.5245646,126.8733003
목동역,서울특별시 양천구 오목로 지하245 ,양천구,37.4838184,126.780752
오목교역,서울특별시 양천구 오목로 지하342 ,양천구,37.5245414,126.874271
양평역,서울특별시 영등포구 양산로 지하21 ,영등포구,37.5175951,126.9075056
영등포시장역,서울특별시 영등포구 양산로 지하200 ,영등포구,37.52261,126.90494
신길역,서울특별시 영등포구 경인로114가길 지하9 ,영등포구,37.5176664,126.9146626
여의도역,서울특별시 영등포구 여의나루로 지하40 ,영등포구,37.5213559,126.9249795
여의나루역,서울특별시 영등포구 여의동로 지하343 ,영등포구,37.5213559,126.9249795
마포역,서울특별시 마포구 마포대로 지하33 ,마포구,37.5393493,126.9448207
공덕역,서울특별시 마포구 마포대로 지하100 ,마포구,37.5444535,126.9511752
애오개역,서울특별시 마포구 마포대로 지하210 ,마포구,37.5191533,126.8859328
서대문역,서울특별시 종로구 통일로 지하126 ,종로구,37.5658503,126.9667289
광화문역,서울특별시 종로구 세종대로 지하172 ,종로구,37.5740339,126.976775
청구역,서울특별시 중구 청구로 지하77 ,중구,37.5664155,127.0032992
신금호역,서울특별시 성동구 금호로 지하154 ,성동구,37.5178224,127.0210816
행당역,서울특별시 성동구 행당로 지하89 ,성동구,37.5860534,127.0293668
마장역,서울특별시 성동구 마장로 지하296 ,성동구,37.5660522,127.0430835
답십리역,서울특별시 성동구 천호대로 지하300,성동구,37.5611822,127.0363048
장한평역,서울특별시 동대문구 천호대로 지하405 ,동대문구,37.5614271,127.0645928
군자역,서울특별시 광진구 천호대로 지하550,광진구,37.5569984,127.079719
아차산역,서울특별시 광진구 천호대로 지하657,광진구,37.5255144,127.0386028
광나루역,서울특별시 광진구 아차산로 지하571 ,광진구,37.5376127,127.0726183
천호역,서울특별시 강동구 천호대로 지하997 ,강동구,37.5392918,127.1232819
강동역,서울특별시 강동구 천호대로 지하1097 ,강동구,37.538274,127.14567
길동역,서울특별시 강동구 양재대로 지하1480 ,강동구,37.5374092,127.1411034
굽은다리역,서울특별시 강동구 양재대로 지하1572 ,강동구,37.515859,127.1068358
명일역,서울특별시 강동구 양재대로 지하1632 ,강동구,37.5374092,127.1411034
고덕역,서울특별시 강동구 고덕로 지하253 ,강동구,37.5616294,127.0759891
상일동역,서울특별시 강동구 고덕로 지하359 ,강동구,37.5700669,127.1585932
둔촌동역,서울특별시 강동구 양재대로 지하1369 ,강동구,37.527692,127.136247
올림픽공원역,서울특별시 송파구 양재대로 지하1233,송파구,37.5069572,127.0390342
방이역,서울특별시 송파구 양재대로 지하1127 ,송파구,37.5082689,127.1256528
개롱역,서울특별시 송파구 오금로 지하402 ,송파구,37.49797,127.135085
거여역,서울특별시 송파구 오금로 지하499 ,송파구,37.5464057,127.0755739
마천역,서울특별시 송파구 마천로57길 지하7 ,송파구,37.495027,127.152806
응암역,서울특별시 은평구 증산로 지하477 ,은평구,37.5379796,127.1237397
역촌역,서울특별시 은평구 서오릉로 지하63 ,은평구,37.60589,126.92287
독바위역,서울특별시 은평구 불광로 지하129-1 ,은평구,37.6182997,126.9330099
구산역,서울특별시 은평구 연서로 지하137-1 ,은평구,37.6190884,126.9235023
새절역,서울특별시 은평구 증산로 지하400 (신사동,은평구,37.5869005,126.9097744
증산역,서울특별시 은평구 증산로 지하306 ,은평구,37.4746528,126.8822218
디지털미디어시티역,서울특별시 은평구 수색로 지하175 ,은평구,37.57754000000001,126.90223
월드컵경기장역,서울특별시 마포구 월드컵로 지하240 ,마포구,37.56944379999999,126.899311
마포구청역,서울특별시 마포구 월드컵로 지하190 ,마포구,37.5593963,126.9058128
망원역,서울특별시 마포구 월드컵로 지하77 ,마포구,37.5487042,126.9208274
상수역,서울특별시 마포구 독막로 지하85 ,마포구,37.5477376,126.9395534
광흥창역,서울특별시 마포구 독막로 지하 165,마포구,37.5467114,126.9328565
대흥역,서울특별시 마포구 대흥로 지하 85,마포구,37.5477376,126.9395534
효창공원앞역,서울특별시 용산구 백범로 지하287 ,용산구,37.5399947,127.0017486
녹사평역,서울특별시 용산구 녹사평대로 지하195 ,용산구,37.5307677,126.9677012
이태원역,서울특별시 용산구 이태원로 지하177 ,용산구,37.534481,126.994517
한강진역,서울특별시 용산구 이태원로 지하287 ,용산구,37.5399947,127.0017486
버티고개역,서울특별시 중구 다산로 지하38 ,중구,37.5621665,127.0184822
창신역,서울특별시 종로구 지봉로 지하112 ,종로구,37.5795663,127.0146945
보문역,서울특별시 성북구 보문로 지하116 ,성북구,37.5856721,127.0197427
안암역,서울특별시 성북구 고려대로 지하89 ,성북구,37.589116,127.0182146
고려대역,서울특별시 성북구 종암로 지하1 ,성북구,37.5900464,127.0361242
월곡역,서울특별시 성북구 월곡로 지하107 ,성북구,37.6020743,127.0416451
상월곡역,서울특별시 성북구 화랑로 지하157 ,성북구,37.6176466,127.0685939
돌곶이역,서울특별시 성북구 화랑로 지하243 ,성북구,37.610524,127.056439
석계역,서울특별시 노원구 화랑로 지하347-1 ,노원구,37.55570300000001,127.0119666
태릉입구역,서울특별시 노원구 동일로 지하992-1 ,노원구,37.617365,127.07486
화랑대역,서울특별시 노원구 화랑로 지하510,노원구,37.55915359999999,126.9762838
봉화산역,서울특별시 중랑구 신내로 지하232 ,중랑구,37.6172829,127.0913554
신내역,서울특별시 중랑구 용마산로136길 33,중랑구,37.6115753,127.1077606
도봉산역,서울특별시 도봉구 도봉로 964-40 ,도봉구,37.6890803,127.046509
수락산역,서울특별시 노원구 동일로 지하1662 ,노원구,37.6769454,127.0552753
마들역,서울특별시 노원구 동일로 지하1530-1 ,노원구,37.665375,127.057614
중계역,서울특별시 노원구 동일로 지하1308-1 ,노원구,37.6562713,127.0624069
하계역,서울특별시 노원구 동일로 지하1196 ,노원구,37.63636049999999,127.0680165
공릉역,서울특별시 노원구 동일로 지하1074,노원구,37.6562713,127.0624069
먹골역,서울특별시 중랑구 동일로 지하901 ,중랑구,37.61026,127.07762
중화역,서울특별시 중랑구 동일로 지하797 ,중랑구,37.6060142,127.0969986
상봉역,서울특별시 중랑구 망우로 지하 297,중랑구,37.59661,127.08581
면목역,서울특별시 중랑구 면목로 지하407,중랑구,37.5805996,127.0898628
사가정역,서울특별시 중랑구 사가정로 지하393 ,중랑구,37.580966,127.088503
용마산역,서울특별시 중랑구 용마산로 지하227 ,중랑구,37.5739772,127.0870093
중곡역,서울특별시 광진구 능동로 지하417 ,광진구,37.5661673,127.0844525
어린이대공원역,서울특별시 광진구 능동로 지하210 ,광진구,37.5022231,127.097757
뚝섬유원지역,서울특별시 광진구 능동로 10 ,광진구,37.5354773,127.0753875
청담역,서울특별시 강남구 학동로 지하508 ,강남구,37.5192805,127.0521004
강남구청역,서울특별시 강남구 학동로 지하346 ,강남구,37.5171331,127.0412987
학동역,서울특별시 강남구 학동로 지하180 ,강남구,37.5141799,127.0314393
논현역,서울특별시 강남구 학동로 지하102,강남구,37.5082866,127.027185
반포역,서울특별시 서초구 신반포로 지하241,서초구,37.5082192,127.0119209
내방역,서울특별시 서초구 서초대로 지하103 ,서초구,37.4954141,127.0164028
이수역,서울특별시 동작구 사당로 지하310 ,동작구,37.4855233,126.9820023
남성역,서울특별시 동작구 사당로 지하218 ,동작구,37.4846,126.9712504
숭실대입구역,서울특별시 동작구 상도로 지하 378,동작구,37.495861,126.953991
상도역,서울특별시 동작구 상도로 지하272 ,동작구,37.503082,126.947769
장승배기역,서울특별시 동작구 상도로 지하188 ,동작구,37.4997186,126.9414329
신대방삼거리역,서울특별시 동작구 상도로 지하76  ,동작구,37.5070431,126.8902185
보라매역,서울특별시 동작구 상도로 지하2 ,동작구,37.503082,126.947769
신풍역,서울특별시 영등포구 신풍로 지하27 ,영등포구,37.5196329,126.9289194
남구로역,서울특별시 구로구 도림로 지하7 ,구로구,37.4860154,126.8872302
가산디지털단지역,서울특별시 금천구 벚꽃로 309 ,금천구,37.4822545,126.8821832
천왕역,서울특별시 구로구 오리로 지하1154,구로구,37.6590511,127.0728631
온수역,서울특별시 구로구 경인로3길 지하64 ,구로구,37.4924845,126.8240842
암사역,서울특별시 강동구 올림픽로 지하776 (암사동),강동구,37.5486728,127.1275525
강동구청역,서울특별시 강동구 올림픽로 지하550 (성내동),강동구,37.5289587,127.1241786
몽촌토성역,서울특별시 송파구 올림픽로 지하383,송파구,37.6001494,127.1384682
석촌역,서울특별시 송파구 송파대로 지하439 (석촌동),송파구,37.503517,127.1035697
송파역,서울특별시 송파구 송파대로 지하354 (가락동),송파구,37.4933411,127.1097998
문정역,서울특별시 송파구 송파대로 지하179 (문정동),송파구,37.4863659,127.1165332
장지역,서울특별시 송파구 송파대로 지하82 (장지동),송파구,37.4708096,127.1320468
복정역,서울특별시 송파구 송파대로 지하6 (장지동),송파구,37.4826954,127.1275076
언주역,서울특별시 강남구 봉은사로 지하 201,강남구,37.5052654,127.026161
선정릉역,서울특별시 강남구 선릉로 지하 580,강남구,37.5264815,127.0276344
삼성중앙역,서울특별시 강남구 봉은사로 지하 501,강남구,37.5070923,127.0342662
봉은사역,서울특별시 강남구 봉은사로 지하 601,강남구,37.5041488,127.0256478
삼전역,서울특별시 송파구 백제고분로 187,송파구,37.5046802,127.0877732
석촌고분역,서울특별시 송파구 삼학사로 53,송파구,37.5019827,127.0965961
송파나루역,서울특별시 송파구 오금로 165,송파구,37.5100803,127.1131122
한성백제역,서울특별시 송파구 위례성대로 51,송파구,37.5163586,127.1133151
둔촌오륜역,서울특별시 송파구 강동대로 327,송파구,37.5249898,127.1208809
중앙보훈병원역,서울특별시 강동구 명일로 117,강동구,37.52931720000001,127.1424367
