관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00001,수락산<시공원>,도시자연공원,,상계 산3-1,37.691731,127.065515,6691885.3,,,"통제소 1, 화장실 25",,,,,,2021-09-13
11350-00002,불암산<시공원>,도시자연공원,서울특별시 노원구 한글비석로12길 51-49,중계 산101-1,37.65550096,127.0810225,5332422,,,"통제소 1, 화장실 27",,,,,,2021-09-13
11350-00003,상  계,근린공원,서울특별시 노원구 동일로227길 106(상계동),상계 620,37.66943924,127.0504402,30479.4,,,"다목적운동장, 배드민턴장, 조깅트랙, 화장실",,,,,,2021-09-13
11350-00004,갈  말,근린공원,"서울특별시 노원구 동일로 227길 85 (상계동, 상계주공11단지 아파트)",동일로227길 85,37.66649572,127.0523447,10000.9,,,"배드민턴장, 광장",,,,,,2021-09-13
11350-00005,갈  울,근린공원,서울특별시 노원구 상계로9나길8 (상계동),상계 644,37.66026965,127.0682478,9668.9,,,"정자, 배드민턴장, 야외무대",,,,,,2021-09-13
11350-00006,원  터,근린공원,"서울특별시 노원구 동일로214길 21 (상계동, 상계주공4단지 아파트)",상계753-2,37.65043289,127.0627594,10121.4,,,"배드민턴장, 지압보도",,,,,,2021-09-13
11350-00007,느티울,근린공원,서울특별시 노원구 동일로213길 52(상계동),상계 741,37.64826016,127.0582136,10000.1,,,"정자, 장미원",,,,,,2021-09-13
11350-00008,당현천,근린공원,서울 노원구 동일로 1342,상계 762-1,37.647836,127.063375,9652.5,,,"광장, 정자, 화장실",,,,,,2021-09-13
11350-00009,온  수,근린공원,서울특별시 노원구 노원로 510(상계동),노원로 510,37.66093573,127.0625889,17946.2,,,"배드민턴장, 약수터, 화장실",,,,,,2021-09-13
11350-00010,중  계,근린공원,서울특별시 노원구 동일로 1229(중계동),동일로 1229,37.6389605,127.0663451,22727.4,,,"바닥분수, 실버카페, 광장, 화장실",,,,,,2021-09-13
11350-00011,삿갓봉,근린공원,서울특별시 노원구 한글비석로 346 (중계동),한글비석로 346,37.65794941,127.0763791,10652.9,,,"파고라, 운동장, 화장실",,,,,,2021-09-13
11350-00012,노  해,근린공원,서울특별시 노원구 노원로22길 1 (중계동),중계 360-18,37.64815756,127.0706995,34646.8,,,"운동장, 정자, 인라인스케이트장, 야외무대",,,,,,2021-09-13
11350-00013,양  지,근린공원,서울특별시 노원구 한글비석로5길 40(중계동),중계 362,37.64545773,127.0748358,10508.1,,,"정자, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00014,충  숙,근린공원,서울특별시 노원구 한글비석로 144 (하계동),한글비석로 144,37.64032293,127.0768027,12627.7,,,"파고라, 약수터, 화장실",,,,,,2021-09-13
11350-00015,골마을,근린공원,서울특별시 노원구 한글비석로 107 (하계동),하계 251-8,37.63840362,127.0737511,9808.1,,,"파고라, 화장실, 농구장",,,,,,2021-09-13
11350-00016,공릉동,근린공원,서울특별시 노원구 화랑로 540 (공릉동),공릉 63,37.621011,127.086191,11540,,,"정자, 운동장, 화장실",,,,,,2021-09-13
11350-00017,가재울,근린공원,서울 노원구 동일로210길 86,중계 515-4,37.648772,127.066378,10483.9,,,"게이트볼장, 정자, 화장실",,,,,,2021-09-13
11350-00018,초안산<시공원>,근린공원,서울 노원구 마들로5길 91,월계 산1,37.644627,127.050756,950643,,,"체육시설, 캠핑장 등",,,,,,2021-09-13
11350-00019,한글비,근린공원,서울 노원구 노원로18길 41,하계 288-2,,127.074375,13614.5,,,"조합놀이대, 파고라, 광장",,,,,,2021-09-13
11350-00020,비석골,근린공원,서울특별시 노원구 월계로45가길 57 (월계동),월계로45가길 57,37.63120699,127.0502962,10022,,,"정자, 조합놀이대, 배드민턴장",,,,,,2021-09-13
11350-00021,벽  운,근린공원,서울특별시 노원구 동일로248가길 17 (상계동),동일로248가길 1,37.68028549,127.0571649,13142.9,,,"정자, 광장, 산책로, 화장실",,,,,,2021-09-13
11350-00022,달맞이,근린공원,서울특별시 노원구 덕릉로 483 (중계동),덕릉로 483,37.64560941,127.0627148,8838.9,,,"교통공원시설, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00023,솔  밭,근린공원,"서울특별시 노원구 화랑로51길 17 (공릉로, 화랑타운아파트)",화랑로51길 17,37.62307787,127.0893658,11459.1,,,"파고라, 체육시설",,,,,,2021-09-13
11350-00024,한  내,근린공원,서울특별시 노원구 마들로 86 (월계동),마들로 86,37.62358892,127.0687828,20300,,,"분수, 체육시설, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00025,장암지구,근린공원,"서울특별시 노원구 누원로 18 (상계동, 수락리버시티4단지)",누원로 18,37.68621458,127.0528727,8075,,,"광장, 정자",,,,,,2021-09-13
11350-00026,영축산              <시공원>,근린공원,서울특별시 노원구 광운로 141(월계동),월계 산108,37.62834719,127.057541,260500,,,"유아숲체험장, 광장 등",,,,,,2021-09-13
11350-00027,돌곶이,어린이공원,서울특별시 노원구 석계로13길 23-10,광운로 20,37.6199195,127.0613588,954,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00028,벼  루,어린이공원,서울특별시 노원구 광운로1길 24 (월계동),광운로1길 24,37.61923977,127.0565452,327,,,조합놀이대,,,,,,2021-09-13
11350-00029,소곶네,어린이공원,서울 노원구 석계로13길 6-20,월계 411-47,37.621223,127.061511,814,,,"조합놀이대, 의자, 철봉",,,,,,2021-09-13
11350-00030,연천내,어린이공원,서울 노원구 석계로15길 17,월계 411-50,37.622475,127.061115,152,,,"조합놀이대, 의자, 흔들놀이",,,,,,2021-09-13
11350-00031,월  계,어린이공원,서울 노원구 석계로13길 35,월계 429-44,37.620463,,858,,,"파고라, 의자",,,,,,2021-09-13
11350-00032,새나라,어린이공원,서울특별시 노원구 동일로179길22 (공릉동),동일로179길 22,37.62204782,127.0727758,992.1,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00033,해오라기,어린이공원,서울 노원구 동일로186길 53-26,공릉 503-17,37.626075,127.076269,959.7,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00034,옹달샘,어린이공원,서울 노원구 노원로1바길 6,공릉 270-4,37.620616,127.080912,341,,,"조합놀이대, 그네, 의자",,,,,,2021-09-13
11350-00035,나  래,어린이공원,서울 노원구 동일로191가길 37,공릉 380-4,,127.070626,996.7,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00036,씨  알,어린이공원,서울 노원구 동일로196길 26,공릉 371-1,37.627948,,991.3,,,"조합놀이대, 철봉, 의자",,,,,,2021-09-13
11350-00037,개  미,어린이공원,서울 노원구 공릉로 115-1,공릉 589-4,37.620875,127.077792,973.5,,,"조합놀이대, 의자, 음수대",,,,,,2021-09-13
11350-00038,별  빛,어린이공원,서울 노원구 동일로175길 39,공릉 690-1,37.619274,127.072179,132.5,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00039,공  작,어린이공원,서울특별시 노원구 공릉로58나길 14 (하계동),공릉로58나길 14,37.63626171,127.0737468,255,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00040,목  련,어린이공원,서울 노원구 공릉로58다길 5,하계 167-12,37.636208,127.074429,112,,,의자,,,,,,2021-09-13
11350-00041,전주동,어린이공원,서울 노원구 한글비석로20길 10,중계 154-9,37.659759,127.073652,288,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00042,당  현,어린이공원,서울 노원구 덕릉로83길 12,중계 154-7,37.660449,127.074849,274,,,조합놀이대,,,,,,2021-09-13
11350-00043,무궁화,어린이공원,서울 노원구 한글비석로46길 44,상계 135-77,37.665643,127.069377,561,,,"조합놀이대, 의자, 급수대",,,,,,2021-09-13
11350-00044,샛  말,어린이공원,서울 노원구 동일로242라길 15-4,상계 1116-50,37.676184,,331,,,"조합놀이대, 흔들의자",,,,,,2021-09-13
11350-00045,호돌이,어린이공원,서울 노원구 동일로227길 86,상계 622,37.668711,127.051065,1500.1,,,"미끄럼대, 그네, 조합놀이대, 음수대",,,,,,2021-09-13
11350-00046,산철쭉,어린이공원,서울 노원구 동일로 1593,상계 625,37.670672,127.055457,1500,,,"미끄럼대, 그네, 화장실",,,,,,2021-09-13
11350-00047,삼  들,어린이공원,"서울특별시 노원구 동일로227길 86(상계동, 상계주공16단지아파트)",상계 623,37.670404,127.0527266,1500,,,"조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00048,개나리,어린이공원,"서울특별시 노원구 동일로 228길 23(상계동, 상계주공14단지아파트)",동일로228길 23,37.66985723,127.0587456,1506,,,"미끄럼대, 의자, 조합놀이대, 음수전",,,,,,2021-09-13
11350-00049,봉숭아,어린이공원,서울특별시 노원구 한글비석로 25길 22,상계 628,37.66045209,127.0701063,1499.6,,,"미끄럼대, 그네, 조합놀이대",,,,,,2021-09-13
11350-00050,두루미,어린이공원,"서울특별시 노원구 동일로227길 85(상계동, 상계주공11단지아파트)",상계 656-1,37.66649572,127.0523447,3580,,,"미끄럼대, 의자, 화장실",,,,,,2021-09-13
11350-00051,참  새,어린이공원,서울특별시 노원구 동일로227길 49(상계동),상계 652-3,37.66595352,127.054659,1500.1,,,"파고라, 의자",,,,,,2021-09-13
11350-00052,햇  빛,어린이공원,서울특별시 노원구 상계로 37길 36,상계 646,37.67163547,127.0802081,1631.2,,,"조합놀이대, 음수대, 그네, 화장실",,,,,,2021-09-13
11350-00053,종달새,어린이공원,서울 노원구 수락산로 131,상계 636,,127.062134,4051,,,"조합놀이대, 음수대, 파고라, 화장실",,,,,,2021-09-13
11350-00054,상록수,어린이공원,서울특별시 노원구 한글비석로 25길 19,상계 663,37.66040664,127.0703242,2130,,,"미끄럼대, 파고라, 화장실",,,,,,2021-09-13
11350-00055,반  디,어린이공원,서울 노원구 노원로 564,상계 665,37.663114,127.054325,1500,,,"미끄럼대, 의자, 화장실",,,,,,2021-09-13
11350-00056,민들레,어린이공원,서울 노원구 노원로 564,상계 667,37.662832,127.056156,1780.2,,,"조합놀이대, 음수대, 의자, 화장실",,,,,,2021-09-13
11350-00057,달  빛,어린이공원,서울특별시 노원구 노원로 532,노원로 532,37.66461677,127.0598168,1500,,,"미끄럼대, 파고라, 화장실",,,,,,2021-09-13
11350-00058,용  화,어린이공원,서울 노원구 동일로221길 32,상계 695-1,37.659215,127.056661,1500,,,"미끄럼대, 그네, 조합놀이대, 음수대",,,,,,2021-09-13
11350-00059,온  곡,어린이공원,서울특별시 노원구 동일로 1456,동일로 1456,37.66067691,127.0614956,1500.1,,,"미끄럼대, 화장실",,,,,,2021-09-13
11350-00060,한아름,어린이공원,서울 노원구 상계로1길 38,상계 692-3,37.657597,127.061419,1500.2,,,"조합놀이대, 음수대, 파고라",,,,,,2021-09-13
11350-00061,채송화,어린이공원,서울특별시 노원구 동일로 215길 48,상계 737-1,37.65081661,127.0561522,1500,,,"조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00062,기  린,어린이공원,서울특별시 노원구 동일로 215길 48,상계 737-3,37.65081661,127.0561522,1500.1,,,"파고라, 조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00063,엄  지,어린이공원,서울 노원구 동일로216길 47,상계 720-4,37.663904,127.070802,1500.1,,,"파고라, 조합놀이대, 음수대",,,,,,2021-09-13
11350-00064,소  망,어린이공원,서울 노원구 노해로 508,상계 720-1,37.657044,127.063773,1500,,,"스페이스네트, 조합놀이대",,,,,,2021-09-13
11350-00065,까  치,어린이공원,서울 노원구 동일로213길 52,상계 741-1,37.649189,,1500.2,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00066,감나무,어린이공원,서울특별시 노원구 동일로 213길 52,상계 742-2,37.64826016,127.0582136,1500.3,,,"파고라, 조합놀이대, 음수대, 화장실",,,,,,2021-09-13
11350-00067,신기루,어린이공원,서울특별시 노원구 동일로 214길 2-2,동일로214길 2,37.64894575,127.0623792,1500.1,,,"미끄럼대, 그네",,,,,,2021-09-13
11350-00068,물보라,어린이공원,서울 노원구 동일로216길 92,상계 756,37.651419,127.066706,1500.1,,,"미끄럼대, 그네",,,,,,2021-09-13
11350-00069,선  녀,어린이공원,"서울특별시 노원구 덕릉로 459-21(상계동, 상계주공1단지아파트)",상계 767-2,37.64630799,127.0589575,1500.2,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00070,사  랑,어린이공원,서울특별시 노원구 동일로 213길 21,상계 765-1,37.64771001,127.0600193,2540.3,,,"파고라, 조합놀이대, 의자, 음수대",,,,,,2021-09-13
11350-00071,들국화,어린이공원,서울특별시 노원구 동일로207길 50(중계동),중계 501,37.64282684,127.0612846,3413.6,,,"조합놀이대, 그네, 의자, 화장실",,,,,,2021-09-13
11350-00072,백  합,어린이공원,서울 노원구 노원로 331,중계 514-4,,127.063877,4924.2,,,"파고라, 조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00073,해바라기,어린이공원,서울 노원구 공릉로59가길 28,하계 277,37.635775,127.071745,4504,,,"조합놀이대, 화장실, 파고라, 운동장",,,,,,2021-09-13
11350-00074,하  계,어린이공원,서울 노원구 공릉로55길 88,하계 273-3,37.632545,127.068884,6128.9,,,"조합놀이대, 그네, 시소, 화장실",,,,,,2021-09-13
11350-00075,중  현,어린이공원,서울 노원구 섬밭로 181,하계 272-1,37.632125,127.065536,7123.5,,,"파고라, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00076,중  평,어린이공원,서울 노원구 섬밭로 241,하계 271-1,37.637209,127.063565,5840.5,,,"파고라, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00077,꿈나라,어린이공원,서울 노원구 덕릉로76길 29,중계 358-1,37.645726,127.063897,1623,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00078,새  싹,어린이공원,서울 노원구 중계로 230,중계 359-2,37.653291,127.076551,1516.9,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00079,천  보,어린이공원,서울특별시 노원구 중계로184,중계로 184,37.65110792,127.0795991,1504.1,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
